REC_TIME,ID,POINT_ID,AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
2022/11/12 0:00,22933,1001,9.00E-01,0,6.23E+01,4,0,11,0,155,170
2022/10/12 0:00,22707,1001,1.10E+00,0,6.92E+01,19,0,47,0,717,783
2022/7/24 0:00,22211,1001,3.50E+00,0,1.02E+02,508,0,549,0,5777,6834
2022/9/25 0:00,22587,1001,1.10E+00,0,6.36E+01,16,0,50,0,744,810
2022/11/9 0:00,22930,1001,1.40E+00,0,6.51E+01,14,0,54,0,597,665
2022/10/3 0:00,22668,1001,8.00E-01,0,7.78E+01,7,0,14,0,220,241
2022/11/17 0:00,22951,1001,6.00E-01,0,4.47E+01,3,0,14,0,262,279
2022/5/18 0:00,22144,1001,1.02E+01,0,8.21E+01,1320,0,1131,0,7474,9925
2022/5/26 0:00,22152,1001,7.40E+00,0,9.36E+01,1167,0,1094,0,8083,10344
2022/6/3 0:00,22160,1001,9.40E+00,0,9.97E+01,2412,0,2079,0,15371,19862
2022/5/15 0:00,22141,1001,1.28E+01,0,7.91E+01,2117,0,1484,0,9869,13470
2022/6/11 0:00,22168,1001,6.50E+00,0,8.63E+01,691,0,662,0,4885,6238
2022/5/23 0:00,22149,1001,8.60E+00,0,9.00E+01,1695,0,1509,0,9785,12989
2022/6/19 0:00,22176,1001,5.00E+00,0,1.04E+02,881,0,890,0,8613,10384
2022/5/31 0:00,22157,1001,9.20E+00,0,9.40E+01,1816,0,1517,0,11151,14484
2022/6/8 0:00,22165,1001,2.80E+00,0,6.72E+01,174,0,168,0,1321,1663
2022/6/29 0:00,22186,1001,4.00E+00,0,8.60E+01,140,0,246,0,2588,2974
2022/5/25 0:00,22151,1001,8.30E+00,0,8.56E+01,1073,0,975,0,6302,8350
2022/8/31 0:00,22287,1001,2.90E+00,0,8.55E+01,112,0,177,0,1561,1850
2022/6/28 0:00,22185,1001,3.40E+00,0,1.03E+02,344,0,469,0,5146,5959
2022/8/3 0:00,22230,1001,2.10E+00,0,8.92E+01,64,0,122,0,898,1084
2022/7/7 0:00,22194,1001,2.80E+00,0,9.34E+01,205,0,284,0,2837,3326
2022/6/2 0:00,22159,1001,1.04E+01,0,9.85E+01,2666,0,2115,0,15148,19929
2022/9/8 0:00,22331,1001,5.00E+00,0,8.81E+01,366,0,527,0,4234,5127
2022/8/11 0:00,22271,1001,4.50E+00,0,9.06E+01,270,0,430,0,3289,3989
2022/7/6 0:00,22193,1001,3.00E+00,0,9.84E+01,280,0,338,0,3689,4307
2022/7/15 0:00,22202,1001,1.02E+01,0,9.70E+01,2427,0,2013,0,14086,18526
2022/6/10 0:00,22167,1001,8.90E+00,0,8.82E+01,1494,0,1331,0,9841,12666
2022/9/16 0:00,22468,1001,5.70E+00,0,8.84E+01,286,0,419,0,4540,5245
2022/9/5 0:00,22328,1001,3.30E+00,0,9.22E+01,178,0,285,0,2275,2738
